team_id,season,Away,Home,diff
ARI,2000,0.125,0.375,0.25
ARI,2001,0.75,0.375,-0.375
ARI,2002,0.375,0.375,0
ARI,2003,0,0.75,0.75
ARI,2004,0.5,0.625,0.125
ARI,2005,0.375,0.285714285714286,-0.0892857142857143
ARI,2006,0.5,0.5,0
ARI,2007,0.375,0.625,0.25
ARI,2008,0.5,0.625,0.125
ARI,2009,0.5,0.5,0
ARI,2010,0.25,0.375,0.125
ARI,2011,0.5,0.5,0
ARI,2012,0.5,0.375,-0.125
ARI,2013,0.625,0.625,0
ARI,2014,0.625,0.75,0.125
ARI,2015,0.75,0.375,-0.375
ARI,2016,0.375,0.375,0
ARI,2017,0.285714285714286,0.5,0.214285714285714
ARI,2018,0.5,0.375,-0.125
ARI,2019,0.625,0.5,-0.125
ATL,2000,0.375,0.375,0
ATL,2001,0.5,0.25,-0.25
ATL,2002,0.75,0.5,-0.25
ATL,2003,0.5,0.25,-0.25
ATL,2004,0.5,0.375,-0.125
ATL,2005,0.428571428571429,0.5,0.0714285714285715
ATL,2006,0.625,0.375,-0.25
ATL,2007,0.625,0.375,-0.25
ATL,2008,0.5,0.625,0.125
ATL,2009,0.625,0.75,0.125
ATL,2010,0.75,0.625,-0.125
ATL,2011,0.375,0.5,0.125
ATL,2012,0.625,0.5,-0.125
ATL,2013,0.285714285714286,0.5,0.214285714285714
ATL,2014,0.375,0.428571428571429,0.0535714285714286
ATL,2015,0.375,0.375,0
ATL,2016,0.875,0.375,-0.5
ATL,2017,0.375,0.625,0.25
ATL,2018,0.25,0.375,0.125
ATL,2019,0.5,0.5,0
BAL,2000,0.625,0.625,0
BAL,2001,0.375,0.625,0.25
BAL,2002,0.75,0.5,-0.25
BAL,2003,0.5,0.5,0
BAL,2004,0.5,0.625,0.125
BAL,2005,0.25,0.625,0.375
BAL,2006,0.5,0.75,0.25
BAL,2007,0,0.375,0.375
BAL,2008,0.75,0.75,0
BAL,2009,0.375,0.625,0.25
BAL,2010,0.625,0.375,-0.25
BAL,2011,0.5,0.5,0
